county,fips,penndot_code,logpwd,elasticity,macrotide,basemarg,projmarg,vulcomposite,anxiety_tier,turnout_d_2024,turnout_r_2024,turnout_d_2026,turnout_r_2026,reg_net_d,reg_net_r,reg_net_i
Indiana,42063,32,4.61,0.98,-1.6,-41.4,-45.3,63.2,Elevated,56.7,63.5,45.5,53.7,-66,726,301
Jefferson,42065,33,4.28,0.89,-1.6,-36.1,-37.6,60.5,Elevated,54.9,57.4,44.4,49.4,635,1124,302
Juniata,42067,34,3.98,0.93,-1.6,-25.4,-29.1,54.6,Elevated,50.4,59.2,40.0,52.2,-62,750,149
Lackawanna,42069,35,6.33,1.71,-1.6,-9.3,-11.1,50.1,Elevated,60.0,62.3,46.5,54.5,711,-495,440
Lancaster,42071,36,6.5,1.43,-1.6,-5.1,-7.4,43.5,Moderate,62.7,56.9,52.3,49.8,15,-435,392
Lawrence,42073,37,5.06,1.09,-1.6,-28.7,-33.4,60.1,Elevated,56.9,59.5,41.2,51.2,-642,514,591
Lebanon,42075,38,5.53,1.44,-1.6,-20.6,-27.3,46.7,Moderate,59.7,56.6,48.7,47.5,68,1164,452
Lehigh,42077,39,6.88,1.66,-1.6,-5.7,-10.1,41.3,Moderate,58.2,64.6,44.6,57.4,890,846,360
Luzerne,42079,40,5.95,1.56,-1.6,-15.3,-19.9,58.2,Elevated,58.3,57.8,43.5,46.3,124,857,267
Lycoming,42081,41,4.95,1.21,-1.6,-23.7,-27.8,52.6,Elevated,56.0,63.5,41.4,51.9,22,914,548
McKean,42083,42,3.97,0.89,-1.6,-25.5,-34.7,58.7,Elevated,51.0,57.4,37.7,46.0,-929,1174,408
Mercer,42085,43,5.27,1.34,-1.6,-26.5,-29.8,60.7,Elevated,57.8,59.3,42.2,48.5,-69,118,915
Mifflin,42087,44,4.47,0.96,-1.6,-31.2,-36.2,58.7,Elevated,56.0,62.0,41.8,51.7,-243,744,411
Monroe,42089,45,5.48,1.28,-1.6,-24.0,-32.2,53.7,Elevated,53.7,59.2,38.4,50.6,-355,913,230
Montgomery,42091,46,7.85,1.52,-1.6,8.3,7.8,42.3,Moderate,67.4,59.9,53.7,53.5,1293,-197,680
Montour,42093,47,4.46,1.14,-1.6,-24.3,-31.1,57.5,Elevated,55.1,59.4,39.2,48.0,-1075,570,230
Northampton,42095,48,6.74,1.7,-1.6,4.5,4.7,50.0,Elevated,63.8,63.0,49.2,56.1,1531,-141,161
Northumberland,42097,49,5.23,1.35,-1.6,-27.2,-31.8,49.0,Moderate,54.6,58.4,38.6,50.8,-722,325,351
Perry,42099,50,4.08,0.83,-1.6,-27.6,-34.1,66.4,High,55.7,60.2,40.3,50.7,-320,1230,114
Philadelphia,42101,51,10.0,0.73,-1.6,32.1,37.8,36.5,Moderate,76.6,62.2,62.3,54.6,3531,-2848,1033
Pike,42103,52,4.16,0.76,-1.6,-41.1,-46.0,70.5,High,54.9,57.0,39.2,46.2,-615,479,556
Potter,42105,53,3.37,0.77,-1.6,-44.0,-51.5,62.5,Elevated,53.8,57.8,42.5,50.6,-738,882,198
Schuylkill,42107,54,4.95,1.24,-1.6,-21.2,-26.4,66.7,High,59.1,59.0,44.0,50.6,-745,332,347
Snyder,42109,55,4.17,1.06,-1.6,-40.2,-43.0,56.0,Elevated,52.7,57.8,38.0,50.1,-447,406,130
Somerset,42111,56,4.16,1.17,-1.6,-33.7,-41.1,56.8,Elevated,53.4,58.3,43.1,50.7,-242,610,253
Sullivan,42113,57,3.15,0.76,-1.6,-39.4,-47.7,67.1,High,50.3,53.5,34.4,42.6,-520,746,348
Susquehanna,42115,58,3.87,0.83,-1.6,-38.1,-45.5,62.3,Elevated,51.4,58.0,39.1,46.4,-750,954,81
Tioga,42117,59,3.83,0.8,-1.6,-38.3,-42.9,52.5,Elevated,51.5,60.9,36.8,54.2,-544,207,356
Union,42119,60,4.56,1.11,-1.6,-25.3,-32.0,63.4,Elevated,52.6,62.6,41.5,53.8,-121,1296,596
Venango,42121,61,4.16,0.91,-1.6,-42.9,-49.5,59.0,Elevated,57.1,61.2,45.4,49.2,-570,661,352
Warren,42123,62,4.14,0.97,-1.6,-34.2,-42.5,63.5,Elevated,52.9,58.2,40.5,48.9,-73,1340,295
Washington,42125,63,5.77,1.34,-1.6,-25.1,-29.1,56.3,Elevated,57.8,58.8,45.8,47.5,144,97,200
Wayne,42127,64,4.01,1.0,-1.6,-22.2,-29.5,60.0,Elevated,53.3,57.5,38.1,48.5,-959,568,165
Westmoreland,42129,65,6.29,1.37,-1.6,-10.7,-9.5,44.2,Moderate,62.2,60.6,51.9,49.7,1046,-13,221
Wyoming,42131,66,3.74,0.78,-1.6,-33.7,-40.3,59.9,Elevated,54.8,56.0,42.8,44.5,-666,403,295
York,42133,67,6.17,1.51,-1.6,-21.1,-25.6,52.7,Elevated,63.2,58.7,51.0,47.7,565,436,483
