county,year,margin
Fayette,2014,-26.5
Fayette,2016,-18.7
Fayette,2018,-23.4
Fayette,2020,-25.2
Fayette,2022,-27.0
Fayette,2024,-28.2
Forest,2012,-21.9
Forest,2014,-25.2
Forest,2016,-24.0
Forest,2018,-31.9
Forest,2020,-24.3
Forest,2022,-27.5
Forest,2024,-27.5
Franklin,2012,-12.8
Franklin,2014,-15.5
Franklin,2016,-14.3
Franklin,2018,-21.4
Franklin,2020,-20.6
Franklin,2022,-20.8
Franklin,2024,-24.0
Fulton,2012,-28.2
Fulton,2014,-32.3
Fulton,2016,-31.0
Fulton,2018,-24.7
Fulton,2020,-30.8
Fulton,2022,-37.8
Fulton,2024,-35.6
Greene,2012,-17.3
Greene,2014,-22.6
Greene,2016,-24.9
Greene,2018,-24.3
Greene,2020,-28.3
Greene,2022,-34.8
Greene,2024,-31.3
Huntingdon,2012,-32.1
Huntingdon,2014,-31.0
Huntingdon,2016,-31.1
Huntingdon,2018,-38.1
Huntingdon,2020,-34.7
Huntingdon,2022,-36.9
Huntingdon,2024,-44.1
Indiana,2012,-37.2
Indiana,2014,-36.9
Indiana,2016,-25.8
Indiana,2018,-41.7
Indiana,2020,-43.2
Indiana,2022,-43.5
Indiana,2024,-36.8
Jefferson,2012,-26.9
Jefferson,2014,-37.9
Jefferson,2016,-28.8
Jefferson,2018,-33.3
Jefferson,2020,-32.1
Jefferson,2022,-36.3
Jefferson,2024,-39.2
Juniata,2012,-18.1
Juniata,2014,-20.7
Juniata,2016,-21.1
Juniata,2018,-21.7
Juniata,2020,-22.5
Juniata,2022,-21.3
Juniata,2024,-22.7
Lackawanna,2012,-11.9
Lackawanna,2014,-14.5
Lackawanna,2016,-9.3
Lackawanna,2018,-11.0
Lackawanna,2020,-6.7
Lackawanna,2022,-11.6
Lackawanna,2024,-11.7
Lancaster,2012,-7.3
Lancaster,2014,-9.7
Lancaster,2016,-7.3
Lancaster,2018,-7.8
Lancaster,2020,-4.8
Lancaster,2022,-11.0
Lancaster,2024,-2.2
Lawrence,2012,-20.1
Lawrence,2014,-26.2
Lawrence,2016,-23.4
Lawrence,2018,-30.0
Lawrence,2020,-25.3
Lawrence,2022,-29.6
Lawrence,2024,-24.1
Lebanon,2012,-25.7
Lebanon,2014,-27.2
Lebanon,2016,-20.7
Lebanon,2018,-19.5
Lebanon,2020,-20.1
Lebanon,2022,-18.7
Lebanon,2024,-19.1
Lehigh,2012,-6.8
Lehigh,2014,-9.1
Lehigh,2016,-6.4
Lehigh,2018,-11.6
Lehigh,2020,0.0
Lehigh,2022,-3.6
Lehigh,2024,-5.8
Luzerne,2012,-13.5
Luzerne,2014,-15.3
Luzerne,2016,-9.4
Luzerne,2018,-14.1
Luzerne,2020,-14.0
Luzerne,2022,-19.6
Luzerne,2024,-15.0
Lycoming,2012,-18.0
Lycoming,2014,-26.5
Lycoming,2016,-22.1
Lycoming,2018,-23.2
Lycoming,2020,-22.4
Lycoming,2022,-24.7
Lycoming,2024,-21.2
McKean,2012,-16.6
McKean,2014,-17.2
McKean,2016,-14.8
McKean,2018,-23.7
McKean,2020,-24.2
McKean,2022,-20.4
McKean,2024,-20.7
Mercer,2012,-16.4
Mercer,2014,-25.4
Mercer,2016,-20.8
Mercer,2018,-28.8
Mercer,2020,-28.5
Mercer,2022,-29.7
Mercer,2024,-24.0
Mifflin,2012,-21.1
Mifflin,2014,-29.8
Mifflin,2016,-25.1
Mifflin,2018,-32.4
Mifflin,2020,-27.6
Mifflin,2022,-35.3
Mifflin,2024,-37.2
Monroe,2012,-18.1
Monroe,2014,-27.6
Monroe,2016,-22.8
Monroe,2018,-24.7
Monroe,2020,-20.0
Monroe,2022,-27.0
Monroe,2024,-25.9
Montgomery,2012,5.1
Montgomery,2014,3.3
Montgomery,2016,2.8
Montgomery,2018,2.9
Montgomery,2020,6.0
Montgomery,2022,8.5
Montgomery,2024,2.1
Montour,2012,-12.9
Montour,2014,-12.4
Montour,2016,-22.6
Montour,2018,-26.5
Montour,2020,-19.8
Montour,2022,-26.3
Montour,2024,-29.3
Northampton,2012,4.8
Northampton,2014,1.1
Northampton,2016,5.2
Northampton,2018,0.5
Northampton,2020,7.9
Northampton,2022,5.4
Northampton,2024,5.8
Northumberland,2012,-22.6
Northumberland,2014,-26.6
Northumberland,2016,-24.1
Northumberland,2018,-29.7
Northumberland,2020,-21.5
Northumberland,2022,-27.4
Northumberland,2024,-29.4
Perry,2012,-28.1
Perry,2014,-20.8
Perry,2016,-24.5
Perry,2018,-25.3
Perry,2020,-16.2
Perry,2022,-22.6
Perry,2024,-26.7
Philadelphia,2012,26.6
Philadelphia,2014,22.0
Philadelphia,2016,26.1
Philadelphia,2018,23.2
Philadelphia,2020,27.7
Philadelphia,2022,26.2
Philadelphia,2024,33.3
Pike,2012,-34.4
Pike,2014,-36.3
Pike,2016,-38.9
Pike,2018,-35.8
Pike,2020,-35.5
Pike,2022,-39.1
Pike,2024,-43.5
Potter,2012,-29.0
Potter,2014,-37.4
Potter,2016,-41.5
Potter,2018,-41.0
Potter,2020,-41.4
Potter,2022,-49.0
Potter,2024,-49.3
Schuylkill,2012,-19.7
Schuylkill,2014,-15.8
Schuylkill,2016,-17.1
Schuylkill,2018,-24.3
Schuylkill,2020,-18.3
Schuylkill,2022,-19.4
Schuylkill,2024,-15.3
Snyder,2012,-38.5
Snyder,2014,-39.2
Snyder,2016,-33.5
Snyder,2018,-33.6
Snyder,2020,-39.3
Snyder,2022,-40.4
Snyder,2024,-43.1
Somerset,2012,-25.3
Somerset,2014,-32.3
Somerset,2016,-28.0
Somerset,2018,-33.3
Somerset,2020,-35.6
Somerset,2022,-40.1
Somerset,2024,-35.2
Sullivan,2012,-28.1
Sullivan,2014,-36.5
Sullivan,2016,-32.1
Sullivan,2018,-36.1
Sullivan,2020,-34.9
Sullivan,2022,-39.7
Sullivan,2024,-41.4
Susquehanna,2012,-23.8
Susquehanna,2014,-28.3
Susquehanna,2016,-28.3
Susquehanna,2018,-31.4
Susquehanna,2020,-39.0
Susquehanna,2022,-44.4
Susquehanna,2024,-36.8
Tioga,2012,-29.5
Tioga,2014,-33.5
Tioga,2016,-40.7
Tioga,2018,-36.8
Tioga,2020,-36.2
Tioga,2022,-38.5
Tioga,2024,-35.7
Union,2012,-21.7
Union,2014,-21.5
Union,2016,-23.0
Union,2018,-28.9
Union,2020,-20.3
Union,2022,-28.2
Union,2024,-25.1
Venango,2012,-34.5
Venango,2014,-34.7
Venango,2016,-39.9
Venango,2018,-38.3
Venango,2020,-41.2
Venango,2022,-49.2
Venango,2024,-42.8
Warren,2012,-28.3
Warren,2014,-30.7
Warren,2016,-32.0
Warren,2018,-33.9
Warren,2020,-25.1
Warren,2022,-30.5
Warren,2024,-30.0
Washington,2012,-24.8
Washington,2014,-23.4
Washington,2016,-20.6
Washington,2018,-29.0
Washington,2020,-25.9
Washington,2022,-26.5
Washington,2024,-31.3
Wayne,2012,-15.0
Wayne,2014,-18.9
Wayne,2016,-17.3
Wayne,2018,-20.3
Wayne,2020,-22.2
Wayne,2022,-22.2
Wayne,2024,-28.3
Westmoreland,2012,-9.3
Westmoreland,2014,-18.8
Westmoreland,2016,-12.4
Westmoreland,2018,-10.6
Westmoreland,2020,-6.4
Westmoreland,2022,-16.0
Westmoreland,2024,-14.8
Wyoming,2012,-22.8
Wyoming,2014,-26.3
Wyoming,2016,-28.1
Wyoming,2018,-26.7
Wyoming,2020,-31.5
Wyoming,2022,-30.1
Wyoming,2024,-31.1
York,2012,-18.6
York,2014,-24.0
York,2016,-27.6
York,2018,-20.9
York,2020,-20.3
York,2022,-24.0
York,2024,-18.0
