county,year,cnty_edu_pct,st_edu_pct,is_projected
Centre,2023,37.4,36.5,0
Centre,2024,37.6,37.0,0
Centre,2025,37.8,37.6,1
Centre,2026,38.2,38.1,1
Centre,2027,38.9,38.6,1
Centre,2028,39.7,39.1,1
Chester,2012,33.4,30.8,0
Chester,2013,34.1,31.3,0
Chester,2014,35.6,31.8,0
Chester,2015,35.5,32.4,0
Chester,2016,36.6,32.9,0
Chester,2017,36.4,33.4,0
Chester,2018,38.0,33.9,0
Chester,2019,38.4,34.4,0
Chester,2020,39.0,35.0,0
Chester,2021,39.2,35.5,0
Chester,2022,40.9,36.0,0
Chester,2023,40.6,36.5,0
Chester,2024,41.8,37.0,0
Chester,2025,42.4,37.6,1
Chester,2026,42.8,38.1,1
Chester,2027,43.8,38.6,1
Chester,2028,44.7,39.1,1
Clarion,2012,26.4,30.8,0
Clarion,2013,27.1,31.3,0
Clarion,2014,27.6,31.8,0
Clarion,2015,27.9,32.4,0
Clarion,2016,28.6,32.9,0
Clarion,2017,29.2,33.4,0
Clarion,2018,29.7,33.9,0
Clarion,2019,30.0,34.4,0
Clarion,2020,30.3,35.0,0
Clarion,2021,31.3,35.5,0
Clarion,2022,31.4,36.0,0
Clarion,2023,32.0,36.5,0
Clarion,2024,33.5,37.0,0
Clarion,2025,32.8,37.6,1
Clarion,2026,33.5,38.1,1
Clarion,2027,33.8,38.6,1
Clarion,2028,34.1,39.1,1
Clearfield,2012,27.3,30.8,0
Clearfield,2013,27.5,31.3,0
Clearfield,2014,28.1,31.8,0
Clearfield,2015,29.0,32.4,0
Clearfield,2016,29.6,32.9,0
Clearfield,2017,29.8,33.4,0
Clearfield,2018,30.6,33.9,0
Clearfield,2019,30.6,34.4,0
Clearfield,2020,31.5,35.0,0
Clearfield,2021,31.6,35.5,0
Clearfield,2022,31.8,36.0,0
Clearfield,2023,32.2,36.5,0
Clearfield,2024,32.9,37.0,0
Clearfield,2025,33.8,37.6,1
Clearfield,2026,33.7,38.1,1
Clearfield,2027,34.4,38.6,1
Clearfield,2028,33.9,39.1,1
Clinton,2012,26.2,30.8,0
Clinton,2013,26.3,31.3,0
Clinton,2014,27.1,31.8,0
Clinton,2015,27.4,32.4,0
Clinton,2016,28.0,32.9,0
Clinton,2017,28.3,33.4,0
Clinton,2018,28.8,33.9,0
Clinton,2019,29.9,34.4,0
Clinton,2020,30.0,35.0,0
Clinton,2021,30.2,35.5,0
Clinton,2022,31.4,36.0,0
Clinton,2023,31.4,36.5,0
Clinton,2024,31.7,37.0,0
Clinton,2025,32.0,37.6,1
Clinton,2026,33.3,38.1,1
Clinton,2027,33.8,38.6,1
Clinton,2028,33.8,39.1,1
Columbia,2012,27.1,30.8,0
Columbia,2013,27.8,31.3,0
Columbia,2014,27.9,31.8,0
Columbia,2015,28.2,32.4,0
Columbia,2016,29.7,32.9,0
Columbia,2017,29.4,33.4,0
Columbia,2018,30.1,33.9,0
Columbia,2019,31.4,34.4,0
Columbia,2020,31.2,35.0,0
Columbia,2021,31.6,35.5,0
Columbia,2022,32.7,36.0,0
Columbia,2023,33.1,36.5,0
Columbia,2024,33.8,37.0,0
Columbia,2025,34.6,37.6,1
Columbia,2026,35.3,38.1,1
Columbia,2027,35.2,38.6,1
Columbia,2028,35.4,39.1,1
Crawford,2012,25.9,30.8,0
Crawford,2013,26.5,31.3,0
Crawford,2014,27.0,31.8,0
Crawford,2015,27.3,32.4,0
Crawford,2016,28.1,32.9,0
Crawford,2017,28.5,33.4,0
Crawford,2018,29.3,33.9,0
Crawford,2019,29.6,34.4,0
Crawford,2020,29.8,35.0,0
Crawford,2021,30.3,35.5,0
Crawford,2022,30.7,36.0,0
Crawford,2023,31.1,36.5,0
Crawford,2024,31.9,37.0,0
Crawford,2025,32.5,37.6,1
Crawford,2026,32.6,38.1,1
Crawford,2027,33.2,38.6,1
Crawford,2028,33.8,39.1,1
Cumberland,2012,33.8,30.8,0
Cumberland,2013,34.4,31.3,0
Cumberland,2014,35.5,31.8,0
Cumberland,2015,35.8,32.4,0
Cumberland,2016,36.7,32.9,0
Cumberland,2017,36.7,33.4,0
Cumberland,2018,37.7,33.9,0
Cumberland,2019,38.4,34.4,0
Cumberland,2020,39.4,35.0,0
Cumberland,2021,39.9,35.5,0
Cumberland,2022,40.6,36.0,0
Cumberland,2023,41.5,36.5,0
Cumberland,2024,42.1,37.0,0
Cumberland,2025,42.9,37.6,1
Cumberland,2026,44.0,38.1,1
Cumberland,2027,43.4,38.6,1
Cumberland,2028,44.7,39.1,1
Dauphin,2012,32.5,30.8,0
Dauphin,2013,32.6,31.3,0
Dauphin,2014,33.6,31.8,0
Dauphin,2015,34.0,32.4,0
Dauphin,2016,34.1,32.9,0
Dauphin,2017,36.6,33.4,0
Dauphin,2018,35.9,33.9,0
Dauphin,2019,36.4,34.4,0
Dauphin,2020,37.5,35.0,0
Dauphin,2021,38.3,35.5,0
Dauphin,2022,38.4,36.0,0
Dauphin,2023,39.3,36.5,0
Dauphin,2024,39.9,37.0,0
Dauphin,2025,40.2,37.6,1
Dauphin,2026,41.1,38.1,1
Dauphin,2027,41.5,38.6,1
Dauphin,2028,41.9,39.1,1
Delaware,2012,38.5,30.8,0
Delaware,2013,39.6,31.3,0
Delaware,2014,39.8,31.8,0
Delaware,2015,41.5,32.4,0
Delaware,2016,41.5,32.9,0
Delaware,2017,43.0,33.4,0
Delaware,2018,43.2,33.9,0
Delaware,2019,44.0,34.4,0
Delaware,2020,44.4,35.0,0
Delaware,2021,46.2,35.5,0
Delaware,2022,46.8,36.0,0
Delaware,2023,47.8,36.5,0
Delaware,2024,48.1,37.0,0
Delaware,2025,49.5,37.6,1
Delaware,2026,50.0,38.1,1
Delaware,2027,51.2,38.6,1
Delaware,2028,52.3,39.1,1
Elk,2012,25.1,30.8,0
Elk,2013,24.8,31.3,0
Elk,2014,25.9,31.8,0
Elk,2015,26.6,32.4,0
Elk,2016,27.2,32.9,0
Elk,2017,27.0,33.4,0
Elk,2018,27.5,33.9,0
Elk,2019,28.4,34.4,0
Elk,2020,28.6,35.0,0
Elk,2021,29.2,35.5,0
Elk,2022,30.3,36.0,0
Elk,2023,30.9,36.5,0
Elk,2024,31.0,37.0,0
Elk,2025,31.7,37.6,1
Elk,2026,32.6,38.1,1
Elk,2027,32.4,38.6,1
Elk,2028,33.0,39.1,1
Erie,2012,31.4,30.8,0
Erie,2013,32.0,31.3,0
Erie,2014,33.8,31.8,0
Erie,2015,33.5,32.4,0
Erie,2016,34.8,32.9,0
Erie,2017,35.0,33.4,0
Erie,2018,35.2,33.9,0
Erie,2019,35.7,34.4,0
Erie,2020,36.7,35.0,0
Erie,2021,37.8,35.5,0
Erie,2022,38.3,36.0,0
Erie,2023,39.4,36.5,0
Erie,2024,40.0,37.0,0
Erie,2025,40.7,37.6,1
Erie,2026,41.5,38.1,1
Erie,2027,42.0,38.6,1
Erie,2028,42.5,39.1,1
Fayette,2012,27.6,30.8,0
Fayette,2013,28.1,31.3,0
Fayette,2014,28.3,31.8,0
Fayette,2015,28.1,32.4,0
Fayette,2016,29.4,32.9,0
Fayette,2017,29.9,33.4,0
Fayette,2018,30.3,33.9,0
Fayette,2019,29.9,34.4,0
Fayette,2020,31.1,35.0,0
Fayette,2021,31.6,35.5,0
Fayette,2022,31.8,36.0,0
Fayette,2023,33.7,36.5,0
Fayette,2024,33.1,37.0,0
Fayette,2025,34.0,37.6,1
Fayette,2026,34.5,38.1,1
Fayette,2027,35.1,38.6,1
Fayette,2028,35.7,39.1,1
Forest,2012,22.2,30.8,0
Forest,2013,23.6,31.3,0
Forest,2014,23.0,31.8,0
Forest,2015,23.3,32.4,0
Forest,2016,24.5,32.9,0
Forest,2017,24.9,33.4,0
Forest,2018,25.7,33.9,0
Forest,2019,25.9,34.4,0
Forest,2020,26.6,35.0,0
Forest,2021,26.6,35.5,0
Forest,2022,27.2,36.0,0
Forest,2023,27.2,36.5,0
Forest,2024,27.9,37.0,0
Forest,2025,28.3,37.6,1
Forest,2026,28.8,38.1,1
Forest,2027,29.7,38.6,1
Forest,2028,30.5,39.1,1
Franklin,2012,26.8,30.8,0
Franklin,2013,27.6,31.3,0
Franklin,2014,27.6,31.8,0
Franklin,2015,28.8,32.4,0
Franklin,2016,28.8,32.9,0
Franklin,2017,30.1,33.4,0
Franklin,2018,30.3,33.9,0
Franklin,2019,30.1,34.4,0
Franklin,2020,31.2,35.0,0
Franklin,2021,31.5,35.5,0
Franklin,2022,32.2,36.0,0
Franklin,2023,32.6,36.5,0
Franklin,2024,33.4,37.0,0
Franklin,2025,34.0,37.6,1
Franklin,2026,35.0,38.1,1
Franklin,2027,35.2,38.6,1
Franklin,2028,36.0,39.1,1
Fulton,2012,24.3,30.8,0
Fulton,2013,25.1,31.3,0
Fulton,2014,25.3,31.8,0
Fulton,2015,25.9,32.4,0
Fulton,2016,26.7,32.9,0
Fulton,2017,27.2,33.4,0
Fulton,2018,27.3,33.9,0
Fulton,2019,28.5,34.4,0
Fulton,2020,28.0,35.0,0
Fulton,2021,28.9,35.5,0
Fulton,2022,30.2,36.0,0
Fulton,2023,30.4,36.5,0
Fulton,2024,30.9,37.0,0
Fulton,2025,31.0,37.6,1
Fulton,2026,31.9,38.1,1
Fulton,2027,32.7,38.6,1
Fulton,2028,33.6,39.1,1
Greene,2012,23.4,30.8,0
Greene,2013,23.6,31.3,0
Greene,2014,24.5,31.8,0
Greene,2015,25.4,32.4,0
Greene,2016,25.5,32.9,0
Greene,2017,26.5,33.4,0
Greene,2018,26.3,33.9,0
Greene,2019,27.3,34.4,0
Greene,2020,27.4,35.0,0
Greene,2021,27.9,35.5,0
Greene,2022,28.5,36.0,0
Greene,2023,28.8,36.5,0
Greene,2024,30.2,37.0,0
Greene,2025,30.0,37.6,1
Greene,2026,30.5,38.1,1
Greene,2027,31.2,38.6,1
Greene,2028,32.1,39.1,1
Huntingdon,2012,25.2,30.8,0
Huntingdon,2013,25.5,31.3,0
Huntingdon,2014,26.8,31.8,0
Huntingdon,2015,27.4,32.4,0
Huntingdon,2016,27.3,32.9,0
Huntingdon,2017,27.2,33.4,0
Huntingdon,2018,28.8,33.9,0
Huntingdon,2019,29.9,34.4,0
Huntingdon,2020,29.7,35.0,0
Huntingdon,2021,30.5,35.5,0
Huntingdon,2022,30.8,36.0,0
Huntingdon,2023,31.2,36.5,0
Huntingdon,2024,32.1,37.0,0
Huntingdon,2025,33.2,37.6,1
Huntingdon,2026,33.4,38.1,1
Huntingdon,2027,34.6,38.6,1
Huntingdon,2028,34.3,39.1,1
Indiana,2012,30.8,30.8,0
Indiana,2013,31.3,31.3,0
Indiana,2014,31.4,31.8,0
Indiana,2015,32.1,32.4,0
Indiana,2016,33.0,32.9,0
Indiana,2017,33.1,33.4,0
Indiana,2018,33.2,33.9,0
Indiana,2019,33.8,34.4,0
Indiana,2020,34.6,35.0,0
Indiana,2021,35.5,35.5,0
Indiana,2022,35.7,36.0,0
Indiana,2023,36.2,36.5,0
Indiana,2024,36.6,37.0,0
Indiana,2025,37.5,37.6,1
Indiana,2026,38.2,38.1,1
Indiana,2027,38.5,38.6,1
Indiana,2028,38.4,39.1,1
Jefferson,2012,24.8,30.8,0
Jefferson,2013,25.7,31.3,0
Jefferson,2014,26.0,31.8,0
Jefferson,2015,26.4,32.4,0
Jefferson,2016,27.1,32.9,0
Jefferson,2017,27.9,33.4,0
Jefferson,2018,28.7,33.9,0
Jefferson,2019,29.2,34.4,0
Jefferson,2020,29.6,35.0,0
Jefferson,2021,29.9,35.5,0
Jefferson,2022,31.0,36.0,0
Jefferson,2023,31.2,36.5,0
Jefferson,2024,31.9,37.0,0
Jefferson,2025,33.0,37.6,1
Jefferson,2026,33.6,38.1,1
Jefferson,2027,34.9,38.6,1
Jefferson,2028,34.7,39.1,1
Juniata,2012,25.2,30.8,0
Juniata,2013,25.9,31.3,0
Juniata,2014,25.9,31.8,0
Juniata,2015,26.3,32.4,0
Juniata,2016,26.7,32.9,0
Juniata,2017,27.2,33.4,0
Juniata,2018,28.2,33.9,0
Juniata,2019,28.7,34.4,0
Juniata,2020,29.3,35.0,0
Juniata,2021,29.6,35.5,0
Juniata,2022,29.3,36.0,0
Juniata,2023,30.2,36.5,0
Juniata,2024,30.7,37.0,0
Juniata,2025,31.6,37.6,1
Juniata,2026,31.7,38.1,1
Juniata,2027,32.3,38.6,1
Juniata,2028,33.1,39.1,1
Lackawanna,2012,34.2,30.8,0
Lackawanna,2013,34.7,31.3,0
Lackawanna,2014,35.6,31.8,0
Lackawanna,2015,35.6,32.4,0
Lackawanna,2016,36.5,32.9,0
Lackawanna,2017,37.7,33.4,0
Lackawanna,2018,38.5,33.9,0
Lackawanna,2019,38.8,34.4,0
Lackawanna,2020,39.6,35.0,0
Lackawanna,2021,40.7,35.5,0
Lackawanna,2022,41.1,36.0,0
Lackawanna,2023,41.7,36.5,0
Lackawanna,2024,42.5,37.0,0
Lackawanna,2025,43.0,37.6,1
Lackawanna,2026,43.6,38.1,1
Lackawanna,2027,43.4,38.6,1
Lackawanna,2028,45.0,39.1,1
Lancaster,2012,31.8,30.8,0
Lancaster,2013,32.7,31.3,0
Lancaster,2014,33.5,31.8,0
Lancaster,2015,34.5,32.4,0
Lancaster,2016,35.1,32.9,0
Lancaster,2017,35.3,33.4,0
Lancaster,2018,36.3,33.9,0
Lancaster,2019,36.8,34.4,0
Lancaster,2020,37.1,35.0,0
Lancaster,2021,37.6,35.5,0
Lancaster,2022,38.4,36.0,0
Lancaster,2023,39.1,36.5,0
Lancaster,2024,39.6,37.0,0
Lancaster,2025,41.2,37.6,1
Lancaster,2026,40.9,38.1,1
Lancaster,2027,41.9,38.6,1
Lancaster,2028,42.9,39.1,1
Lawrence,2012,29.2,30.8,0
Lawrence,2013,29.4,31.3,0
Lawrence,2014,30.4,31.8,0
Lawrence,2015,30.9,32.4,0
Lawrence,2016,31.1,32.9,0
Lawrence,2017,31.3,33.4,0
Lawrence,2018,32.8,33.9,0
Lawrence,2019,32.8,34.4,0
Lawrence,2020,33.0,35.0,0
Lawrence,2021,33.7,35.5,0
Lawrence,2022,34.5,36.0,0
Lawrence,2023,35.0,36.5,0
Lawrence,2024,35.8,37.0,0
Lawrence,2025,36.1,37.6,1
Lawrence,2026,36.5,38.1,1
Lawrence,2027,38.2,38.6,1
Lawrence,2028,38.3,39.1,1
Lebanon,2012,30.9,30.8,0
Lebanon,2013,30.9,31.3,0
Lebanon,2014,31.8,31.8,0
Lebanon,2015,32.5,32.4,0
Lebanon,2016,33.5,32.9,0
Lebanon,2017,33.7,33.4,0
Lebanon,2018,33.8,33.9,0
Lebanon,2019,34.3,34.4,0
Lebanon,2020,35.5,35.0,0
Lebanon,2021,36.6,35.5,0
Lebanon,2022,37.1,36.0,0
Lebanon,2023,37.7,36.5,0
Lebanon,2024,38.0,37.0,0
Lebanon,2025,38.9,37.6,1
Lebanon,2026,39.0,38.1,1
Lebanon,2027,39.0,38.6,1
Lebanon,2028,41.2,39.1,1
Lehigh,2012,34.0,30.8,0
Lehigh,2013,34.6,31.3,0
Lehigh,2014,36.0,31.8,0
Lehigh,2015,37.1,32.4,0
Lehigh,2016,37.4,32.9,0
Lehigh,2017,38.0,33.4,0
Lehigh,2018,38.3,33.9,0
Lehigh,2019,39.9,34.4,0
Lehigh,2020,40.0,35.0,0
Lehigh,2021,41.2,35.5,0
Lehigh,2022,41.9,36.0,0
Lehigh,2023,42.8,36.5,0
Lehigh,2024,43.3,37.0,0
Lehigh,2025,44.0,37.6,1
Lehigh,2026,45.5,38.1,1
Lehigh,2027,46.3,38.6,1
Lehigh,2028,46.5,39.1,1
Luzerne,2012,29.6,30.8,0
Luzerne,2013,30.9,31.3,0
Luzerne,2014,29.9,31.8,0
Luzerne,2015,31.6,32.4,0
Luzerne,2016,31.6,32.9,0
Luzerne,2017,33.1,33.4,0
Luzerne,2018,32.9,33.9,0
Luzerne,2019,34.0,34.4,0
Luzerne,2020,34.4,35.0,0
Luzerne,2021,34.9,35.5,0
Luzerne,2022,35.7,36.0,0
Luzerne,2023,36.7,36.5,0
Luzerne,2024,36.7,37.0,0
Luzerne,2025,38.0,37.6,1
Luzerne,2026,38.8,38.1,1
Luzerne,2027,38.6,38.6,1
Luzerne,2028,39.3,39.1,1
Lycoming,2012,28.9,30.8,0
Lycoming,2013,29.1,31.3,0
Lycoming,2014,29.6,31.8,0
Lycoming,2015,30.6,32.4,0
Lycoming,2016,31.2,32.9,0
Lycoming,2017,30.8,33.4,0
Lycoming,2018,31.8,33.9,0
Lycoming,2019,32.5,34.4,0
Lycoming,2020,33.0,35.0,0
Lycoming,2021,33.7,35.5,0
Lycoming,2022,33.2,36.0,0
Lycoming,2023,34.9,36.5,0
Lycoming,2024,35.5,37.0,0
Lycoming,2025,35.8,37.6,1
Lycoming,2026,36.0,38.1,1
Lycoming,2027,36.5,38.6,1
Lycoming,2028,36.4,39.1,1
McKean,2012,23.5,30.8,0
McKean,2013,24.2,31.3,0
McKean,2014,24.6,31.8,0
McKean,2015,24.9,32.4,0
McKean,2016,25.1,32.9,0
McKean,2017,26.3,33.4,0
McKean,2018,26.5,33.9,0
McKean,2019,26.6,34.4,0
McKean,2020,27.8,35.0,0
McKean,2021,27.8,35.5,0
McKean,2022,27.9,36.0,0
McKean,2023,29.3,36.5,0
McKean,2024,29.4,37.0,0
McKean,2025,29.4,37.6,1
McKean,2026,29.7,38.1,1
McKean,2027,30.3,38.6,1
McKean,2028,31.2,39.1,1
Mercer,2012,28.2,30.8,0
Mercer,2013,28.8,31.3,0
Mercer,2014,29.3,31.8,0
Mercer,2015,30.4,32.4,0
Mercer,2016,31.1,32.9,0
Mercer,2017,31.0,33.4,0
Mercer,2018,30.9,33.9,0
Mercer,2019,32.2,34.4,0
Mercer,2020,32.8,35.0,0
Mercer,2021,33.7,35.5,0
Mercer,2022,34.4,36.0,0
Mercer,2023,35.7,36.5,0
Mercer,2024,35.1,37.0,0
Mercer,2025,35.5,37.6,1
Mercer,2026,37.0,38.1,1
Mercer,2027,36.8,38.6,1
Mercer,2028,37.1,39.1,1
Mifflin,2012,24.9,30.8,0
Mifflin,2013,25.7,31.3,0
Mifflin,2014,26.6,31.8,0
Mifflin,2015,26.8,32.4,0
Mifflin,2016,27.5,32.9,0
Mifflin,2017,28.4,33.4,0
Mifflin,2018,28.8,33.9,0
Mifflin,2019,29.5,34.4,0
Mifflin,2020,30.0,35.0,0
Mifflin,2021,30.8,35.5,0
Mifflin,2022,31.3,36.0,0
Mifflin,2023,31.6,36.5,0
Mifflin,2024,31.8,37.0,0
Mifflin,2025,32.7,37.6,1
Mifflin,2026,33.2,38.1,1
Mifflin,2027,32.9,38.6,1
Mifflin,2028,34.3,39.1,1
Monroe,2012,29.4,30.8,0
Monroe,2013,29.2,31.3,0
Monroe,2014,30.8,31.8,0
Monroe,2015,30.2,32.4,0
Monroe,2016,31.8,32.9,0
Monroe,2017,32.0,33.4,0
Monroe,2018,32.7,33.9,0
Monroe,2019,33.2,34.4,0
Monroe,2020,33.6,35.0,0
Monroe,2021,34.8,35.5,0
Monroe,2022,35.0,36.0,0
Monroe,2023,35.8,36.5,0
Monroe,2024,36.3,37.0,0
Monroe,2025,37.1,37.6,1
Monroe,2026,37.1,38.1,1
Monroe,2027,37.6,38.6,1
Monroe,2028,38.8,39.1,1
Montgomery,2012,36.9,30.8,0
Montgomery,2013,37.9,31.3,0
Montgomery,2014,38.8,31.8,0
